iter	Passed	Remaining
0	1171	11709780
1	2085	10427872
2	3020	10066381
3	4166	10412795
4	5149	10294832
5	6244	10401758
6	7350	10493226
7	8563	10696240
8	9563	10616913
9	10405	10395047
10	11293	10255904
11	12271	10214248
12	13089	10055644
13	13904	9917635
14	14826	9869681
15	15702	9798087
16	16476	9675554
17	17151	9511203
18	18049	9481557
19	18919	9441058
20	19712	9366980
21	20836	9450094
22	22132	9600687
23	23018	9567968
24	24063	9601387
25	24982	9583837
26	26054	9623581
27	27288	9718771
28	28507	9801533
29	29488	9800123
30	30481	9802246
31	31419	9787070
32	32176	9718130
33	33148	9716272
34	34393	9792446
35	35277	9764065
36	36202	9748210
