iter	Passed	Remaining
0	1173	11734170
1	2204	11022198
2	3049	10160969
3	3841	9600960
4	4612	9220378
5	5383	8966666
6	6154	8785892
7	6879	8592732
8	7658	8501691
9	8417	8409358
10	9203	8357828
11	9929	8264285
12	10701	8221155
13	11505	8207008
14	12301	8188729
15	13102	8176270
16	13930	8180347
17	14727	8167187
18	15508	8146713
19	16243	8105641
20	17030	8092551
21	17893	8115392
22	18733	8126378
23	19471	8093546
24	20202	8060742
25	20945	8034979
26	21777	8043974
27	22644	8064577
28	23448	8062126
29	24211	8046328
30	25050	8055595
31	25914	8072409
32	26736	8075089
33	27593	8088153
34	28478	8108335
35	29330	8118095
36	30085	8101154
37	30867	8092155
38	31725	8102908
39	32533	8100724
40	33236	8073289
41	34020	8066057
42	34946	8092192
43	35748	8088855
44	36473	8068705
45	37260	8062874
46	38098	8067958
47	38918	8069116
48	39651	8052459
49	40429	8045509
50	41380	8072451
51	42188	8070915
52	42908	8052988
53	43714	8051652
54	44541	8053957
55	45284	8041235
56	46039	8031116
57	46877	8035391
58	47758	8046871
59	48468	8029588
60	49218	8019372
61	50097	8030168
62	50941	8034995
63	51675	8022554
64	52468	8019618
65	53393	8036552
66	54208	8036651
67	54950	8025945
68	55720	8019714
69	56604	8029681
70	57433	8031831
71	58247	8031651
72	59104	8037436
73	59985	8046129
74	60767	8041528
75	61492	8029587
76	62303	8029070
77	63164	8034883
78	63906	8025581
79	64617	8012616
80	65409	8009898
81	66296	8018682
82	67035	8009563
83	67745	7997248
84	68602	8002269
85	69488	8010571
86	70234	8002742
87	70960	7992782
88	71917	8008659
89	72931	8030530
90	74162	8075611
91	75089	8086802
92	75962	8092064
93	76892	8103165
94	77808	8112560
95	78706	8119925
96	79474	8113784
97	80225	8106041
98	81173	8118156
99	82102	8128137
100	82911	8126169
101	83738	8125914
102	84654	8134197
103	85472	8133022
104	86233	8126472
105	87228	8141868
106	88162	8151296
107	89122	8162939
108	89998	8166769
109	90927	8175179
110	91710	8170488
111	92425	8159819
112	93235	8157702
113	94193	8168352
114	95015	8167232
115	95976	8177822
116	97007	8194213
117	97907	8199358
118	98712	8196487
119	99627	8202637
120	100488	8204335
121	101238	8197001
122	101993	8190175
123	102780	8185977
124	103600	8184412
125	104360	8178207
126	105596	8209122
127	106547	8217454
128	107442	8221463
129	108364	8227397
130	109414	8242843
131	110185	8237236
132	111070	8240067
133	111909	8239519
134	112909	8250757
135	113737	8249326
136	114463	8240554
137	115314	8240786
138	116091	8235801
139	116832	8228329
140	117577	8221280
141	118467	8224328
142	119376	8228600
143	120091	8219615
144	120927	8218877
145	121776	8219065
146	122544	8213805
147	123344	8210724
148	124133	8206950
149	125033	8210562
150	125796	8205121
151	126441	8192082
152	127194	8186151
153	128081	8188888
154	128893	8186807
155	129589	8177440
156	130350	8172246
157	131237	8174925
158	132065	8173944
159	132925	8174901
160	133909	8183466
161	134825	8187765
162	135567	8181433
163	136341	8177186
164	137209	8178496
165	138013	8176048
166	138778	8171285
167	139511	8164751
168	140546	8175797
169	141472	8180433
170	142304	8179588
171	143281	8187017
172	144145	8187984
173	144876	8181351
174	145691	8179509
175	146540	8179646
176	147258	8172442
177	148031	8168348
178	148763	8162029
179	149640	8163716
180	150470	8162815
181	151217	8157457
182	152151	8162131
183	153102	8167707
184	153806	8160052
185	154620	8158293
186	155487	8159366
187	156423	8163974
188	157181	8159290
189	157875	8151370
190	158805	8155611
191	159624	8154126
192	160407	8150869
193	161295	8152881
194	162188	8155177
195	163008	8153745
196	163832	8152554
197	164677	8152343
198	165579	8154992
199	166355	8151406
200	167134	8148021
201	168016	8149641
202	168858	8149295
203	169621	8145144
204	170346	8139250
205	171222	8140527
206	172039	8139058
207	172741	8132141
208	173507	8128273
209	174396	8130192
210	175227	8129374
211	175978	8124907
212	176794	8123411
213	177524	8118018
214	178344	8116739
215	179169	8115734
216	179996	8114761
217	180918	8118103
218	181762	8117887
219	182574	8116268
220	183468	8118255
221	184234	8114598
222	185015	8111643
223	185698	8104418
224	186599	8106698
225	187453	8106962
226	188241	8104325
227	189025	8101562
228	189930	8103961
229	190787	8104314
230	191616	8103481
231	192440	8102427
232	193310	8103264
233	194308	8109478
234	195104	8107230
235	195910	8105372
236	196913	8111661
237	197693	8108747
238	198513	8107496
239	199427	8110050
240	200142	8104527
241	200909	8101142
242	201649	8096685
243	202559	8099064
244	203322	8095556
245	204075	8091663
246	204953	8092768
247	205922	8097399
248	206675	8093556
249	207383	8087944
250	208232	8087883
251	209128	8089611
252	209856	8084875
253	210614	8081303
254	211535	8083992
255	212404	8084633
256	213155	8080835
257	214043	8082201
258	214879	8081640
259	215680	8079730
260	216409	8075155
261	217274	8075646
262	218190	8078009
263	219057	8078587
264	219856	8076598
265	220739	8077736
266	221554	8076377
267	222306	8072714
268	223113	8071070
269	223946	8070357
270	224716	8067410
271	225575	8067626
272	226394	8066439
273	227253	8066685
274	228125	8067330
275	228998	8068048
276	229726	8063655
277	230417	8057987
278	231218	8056193
279	232137	8058498
280	232891	8055070
281	233704	8053685
282	234501	8051776
283	235402	8053417
284	236191	8051214
285	236914	8046817
286	237834	8049094
287	238742	8050920
288	239534	8048863
289	240347	8047498
290	241301	8050854
291	242128	8049957
292	243002	8050583
293	243918	8052618
294	244812	8053905
295	245572	8050795
296	246286	8046194
297	247251	8049792
298	248061	8048313
299	248846	8046049
300	249583	8042231
301	250480	8043565
302	251337	8043626
303	252086	8040225
304	252989	8041735
305	253848	8041853
306	254759	8043586
307	255613	8043531
308	256597	8047533
309	257388	8045471
310	258202	8044122
311	258966	8041227
312	259770	8039613
313	260630	8039697
314	261389	8036680
315	262165	8034212
316	263083	8036079
317	263857	8033541
318	264690	8032821
319	265583	8033888
320	266543	8036997
321	267282	8033401
322	268049	8030693
323	268980	8032876
324	269878	8034088
325	270645	8031376
326	271580	8033623
327	272499	8035405
328	273310	8034013
329	274059	8030770
330	274985	8032721
331	275846	8032776
332	276634	8030721
333	277460	8029726
334	278258	8027954
335	279106	8027620
336	279875	8025024
337	280778	8026277
338	281602	8025244
339	282369	8022619
340	283149	8020352
341	283997	8020015
342	284927	8022006
343	285718	8020053
344	286508	8018081
345	287458	8020596
346	288366	8021894
347	289122	8018981
348	289915	8017120
349	290771	8016987
350	291607	8016289
351	292293	8011501
352	293063	8009015
353	293899	8008355
354	294810	8009707
355	295505	8005220
356	296266	8002508
357	297083	8001330
358	297870	7999347
359	298664	7997566
360	299516	7997340
361	300349	7996603
362	301131	7994492
363	301942	7993184
364	302797	7993027
365	303631	7992315
366	304322	7987847
367	305156	7987150
368	306084	7988890
369	306982	7989844
370	307738	7987092
371	308555	7985943
372	309369	7984728
373	310176	7983309
374	310967	7981492
375	311795	7980635
376	312736	7982669
377	313448	7978835
378	314380	7980627
379	315428	7985330
380	316269	7984757
381	317082	7983513
382	317984	7984493
383	318865	7984921
384	319641	7982743
385	320429	7980845
386	321274	7980394
387	322154	7980804
388	322901	7977911
389	323661	7975343
390	324429	7973003
391	325258	7972149
392	326075	7971011
393	326872	7969377
394	327837	7971835
395	328695	7971687
396	329472	7969573
397	330196	7966198
398	331066	7966335
399	331946	7966713
400	332701	7964085
401	333517	7962945
402	334355	7962310
403	335118	7959896
404	335931	7958683
405	336886	7960822
406	337803	7962045
407	338596	7960326
408	339391	7958697
409	340252	7958596
410	341161	7959613
411	341997	7958920
412	342873	7959144
413	343818	7960967
414	344658	7960357
415	345444	7958512
416	346266	7957475
417	347119	7957183
418	347869	7954500
419	348675	7953118
420	349458	7951219
421	350313	7950964
422	351148	7950230
423	351986	7949585
424	352926	7951218
425	353741	7950050
426	354723	7952628
427	355649	7953915
428	356660	7957109
429	357619	7959113
430	358390	7956926
431	359167	7954896
432	360017	7954465
433	361024	7957512
434	362019	7960261
435	362861	7959644
436	363708	7959144
437	364602	7959656
438	365552	7961392
439	366300	7958715
440	367175	7958801
441	368096	7959868
442	368926	7958990
443	369674	7956332
444	370468	7954673
445	371441	7956833
446	372351	7957670
447	373196	7957092
448	374085	7957442
449	374867	7955527
