Date;USDPEN;Outright 3M;ATM VOL MID, 3M;USSOC 3M;Tasa Efectiva 3M;Tasa Implicita 3M;;;;;;
03/07/2020;3.5408;3.5195;0.068775;0.0008;0.08002%;0.025248421;;;;;;
02/07/2020;3.5229;3.5278;0.067775;0.000787;0.07872%;-0.004761438;;;;;;
01/07/2020;3.529;3.5383;0.077375;0.000733;0.07332%;-0.009746622;;;;;;
30/06/2020;3.5415;3.547;0.07735;0.000696;0.06962%;-0.00549614;;;;;;
29/06/2020;3.5337;3.5355;0.077325;0.000717;0.07172%;-0.001319199;;;;;;
26/06/2020;3.529;3.514;0.076675;0.00072;0.07202%;0.017916768;;;;;;
25/06/2020;3.504;3.5202;0.07675;0.00072;0.07202%;-0.017574335;;;;;;
24/06/2020;3.5101;3.5312;0.077525;0.00076;0.07602%;-0.022945641;;;;;;
23/06/2020;3.5224;3.5152;0.07005;0.000775;0.07752%;0.008999793;;;;;;
22/06/2020;3.5066;3.5103;0.069475;0.000814;0.08142%;-0.003398682;;;;;;
19/06/2020;3.502;3.5336;0.069075;0.00083;0.08303%;-0.034492951;;;;;;
18/06/2020;3.5255;3.5058;0.069325;0.0008;0.08002%;0.023485584;;;;;;
17/06/2020;3.4975;3.4894;0.069275;0.00085;0.08503%;0.010175839;;;;;;
16/06/2020;3.4827;3.4884;0.069225;0.000915;0.09153%;-0.005610599;;;;;;
15/06/2020;3.478;3.475;0.068875;0.000955;0.09553%;0.004416357;;;;;;
12/06/2020;3.466;3.4687;0.069825;0.0009;0.09003%;-0.002212421;;;;;;
11/06/2020;3.461;3.4387;0.0702;0.00098;0.09804%;0.027199499;;;;;;
10/06/2020;3.427;3.4517;0.0702;0.00075;0.07502%;-0.027588832;;;;;;
09/06/2020;3.4435;3.4455;0.07015;0.00082;0.08203%;-0.001501499;;;;;;
08/06/2020;3.4365;3.4375;0.06955;0.0008;0.08002%;-0.000363819;;;;;;
05/06/2020;3.4305;3.4405;0.07285;0.00065;0.06502%;-0.010932994;;;;;;
04/06/2020;3.4334;3.41;0.07215;0.00065;0.06502%;0.0284007;;;;;;
03/06/2020;3.4024;3.406;0.07225;0.00058;0.05801%;-0.003643458;;;;;;
02/06/2020;3.3961;3.4303;0.06555;0.00055;0.05501%;-0.038758945;;;;;;
01/06/2020;3.4215;3.443;0.08065;0.00052;0.05201%;-0.024237991;;;;;;
29/05/2020;3.4284;3.449;0.071825;0.00051;0.05101%;-0.023179772;;;;;;
28/05/2020;3.4384;3.46;0.0725;0.00053;0.05301%;-0.024221245;;;;;;
27/05/2020;3.4496;3.384;0.0726;0.00053;0.05301%;0.080397822;;;;;;
26/05/2020;3.436;3.439;0.072725;0.000525;0.05251%;-0.00296155;;;;;;
25/05/2020;3.4279;3.439;0.072275;0.00052;0.05201%;-0.012334938;;;;;;
22/05/2020;3.4296;3.425;0.07125;0.00051;0.05101%;0.005895939;;;;;;
21/05/2020;3.4112;3.4122;0.071725;0.000525;0.05251%;-0.000647261;;;;;;
20/05/2020;3.4016;3.4408;0.07225;0.000525;0.05251%;-0.044296354;;;;;;
19/05/2020;3.4279;3.4402;0.0758;0.000565;0.05651%;-0.013667896;;;;;;
18/05/2020;3.428;3.454;0.077325;0.00061;0.06101%;-0.029179766;;;;;;
15/05/2020;3.438;3.4675;0.07545;0.00053;0.05301%;-0.033086172;;;;;;
14/05/2020;3.4505;3.459;0.077375;0.000525;0.05251%;-0.009273297;;;;;;
13/05/2020;3.4397;3.4525;0.0776;0.000515;0.05151%;-0.014240063;;;;;;
12/05/2020;3.4358;3.438;0.077325;0.00052;0.05201%;-0.0020384;;;;;;
11/05/2020;3.4187;3.425;0.077325;0.00053;0.05301%;-0.006811173;;;;;;
08/05/2020;3.4078;3.382;0.07545;0.00052;0.05201%;0.031401597;;;;;;
07/05/2020;3.4032;3.382;0.07715;0.00051;0.05101%;0.025833679;;;;;;
06/05/2020;3.4145;3.382;0.077275;0.00048;0.04801%;0.039495238;;;;;;
05/05/2020;3.3885;3.382;0.07585;0.000455;0.04551%;0.008168537;;;;;;
04/05/2020;3.3847;3.382;0.0775;0.000455;0.04551%;0.003653735;;;;;;
01/05/2020;3.3775;3.382;0.076725;0.000465;0.04651%;-0.004849071;;;;;;
30/04/2020;3.3757;3.403;0.0768;0.00043;0.04301%;-0.031288813;;;;;;
29/04/2020;3.3675;3.4109;0.076575;0.000435;0.04351%;-0.049519137;;;;;;
28/04/2020;3.3893;3.382;0.0778;0.000705;0.07052%;0.009373234;;;;;;
27/04/2020;3.3983;3.382;0.07785;0.000725;0.07252%;0.020157634;;;;;;
24/04/2020;3.3973;3.3846;0.075875;0.000745;0.07452%;0.015850305;;;;;;
23/04/2020;3.3756;3.382;0.0709;0.000745;0.07452%;-0.006808443;;;;;;
22/04/2020;3.3746;3.4015;0.077375;0.0007;0.07002%;-0.030581536;;;;;;
