"Fecha","Último","Apertura","Máximo","Mínimo","% var."
"31.12.2019","3,3130","3,3078","3,3188","3,3018","-0,11%"
"30.12.2019","3,3165","3,3180","3,3213","3,3083","0,06%"
"27.12.2019","3,3146","3,3247","3,3298","3,3138","-0,15%"
"26.12.2019","3,3195","3,3143","3,3233","3,3138","0,14%"
"25.12.2019","3,3150","3,3150","3,3150","3,3150","0,00%"
"24.12.2019","3,3150","3,3118","3,3190","3,3110","-0,14%"
"23.12.2019","3,3195","3,3123","3,3283","3,3083","0,12%"
"20.12.2019","3,3155","3,3303","3,3373","3,3107","-0,58%"
"19.12.2019","3,3350","3,3323","3,3463","3,3294","-0,15%"
"18.12.2019","3,3400","3,3373","3,3473","3,3304","0,00%"
"17.12.2019","3,3400","3,3478","3,3520","3,3378","-0,39%"
"16.12.2019","3,3530","3,3641","3,3641","3,3514","-0,33%"
"13.12.2019","3,3640","3,3780","3,3819","3,3630","-0,40%"
"12.12.2019","3,3775","3,3975","3,3993","3,3765","-0,44%"
"11.12.2019","3,3925","3,3913","3,3983","3,3885","-0,18%"
"10.12.2019","3,3985","3,3713","3,4013","3,3713","0,70%"
"09.12.2019","3,3750","3,3763","3,3833","3,3750","-0,07%"
"06.12.2019","3,3775","3,3785","3,3813","3,3633","-0,06%"
"05.12.2019","3,3795","3,3785","3,3795","3,3653","-0,01%"
"04.12.2019","3,3800","3,3840","3,3868","3,3798","-0,29%"
"03.12.2019","3,3900","3,3970","3,3970","3,3827","-0,04%"
"02.12.2019","3,3915","3,3963","3,4063","3,3903","-0,38%"
"29.11.2019","3,4045","3,3884","3,4114","3,3884","0,28%"
"28.11.2019","3,3950","3,3918","3,3958","3,3788","0,31%"
"27.11.2019","3,3845","3,3803","3,3965","3,3803","-0,01%"
"26.11.2019","3,3850","3,3818","3,3888","3,3788","0,01%"
"25.11.2019","3,3845","3,3823","3,3955","3,3823","-0,12%"
"22.11.2019","3,3885","3,3703","3,3943","3,3693","0,37%"
"21.11.2019","3,3760","3,3773","3,3923","3,3723","-0,21%"
"20.11.2019","3,3830","3,3758","3,3898","3,3758","0,18%"
"19.11.2019","3,3770","3,3668","3,3838","3,3668","0,10%"
"18.11.2019","3,3735","3,3638","3,3758","3,3638","0,30%"
"15.11.2019","3,3635","3,3793","3,3880","3,3613","-0,72%"
"14.11.2019","3,3880","3,3863","3,3973","3,3823","-0,01%"
"13.11.2019","3,3885","3,3785","3,3983","3,3785","0,16%"
"12.11.2019","3,3830","3,3673","3,3885","3,3635","0,62%"
"11.11.2019","3,3620","3,3508","3,3678","3,3508","0,06%"
"08.11.2019","3,3600","3,3410","3,3610","3,3410","0,48%"
